date,T2M,T2M_MAX,T2M_MIN,RH2M,WS2M,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2015-01-01,-14.08,-3.66,-20.71,54.23,3.09,0.0,9.74
2015-01-02,-12.1,-6.08,-16.18,64.08,2.22,0.0,9.8
2015-01-03,-9.32,0.46,-16.11,67.79,1.7,0.0,9.91
2015-01-04,-5.27,-0.95,-8.95,47.89,1.12,0.0,6.84
2015-01-05,-11.76,-7.97,-17.13,61.55,6.08,0.0,10.19
2015-01-06,-11.08,-3.24,-17.76,49.92,2.0,0.0,9.97
2015-01-07,-9.01,-3.42,-11.88,49.4,1.31,0.0,9.67
2015-01-08,-10.33,-2.37,-15.05,61.79,2.37,0.0,10.1
2015-01-09,-9.9,-1.4,-15.06,59.6,2.95,0.0,10.44
2015-01-10,-8.9,0.82,-14.52,65.22,2.28,0.0,9.89
2015-01-11,-7.29,-0.56,-11.6,54.35,1.67,0.0,9.99
2015-01-12,-7.68,-0.41,-13.32,76.29,2.51,0.0,8.9
2015-01-13,-6.13,-2.02,-9.56,94.91,2.14,0.55,3.82
2015-01-14,-7.01,-1.12,-11.29,79.59,1.84,0.36,5.47
2015-01-15,-9.54,-3.62,-12.44,79.79,3.35,0.2,6.69
2015-01-16,-12.4,-7.59,-15.05,67.78,4.76,0.03,10.19
2015-01-17,-10.99,-5.99,-15.58,76.43,2.07,0.43,7.13
2015-01-18,-11.63,-7.63,-14.56,74.03,4.93,0.07,8.39
2015-01-19,-11.26,-4.42,-17.34,72.57,1.96,0.0,9.6
2015-01-20,-9.91,-3.4,-14.9,70.75,2.84,0.0,8.71
2015-01-21,-12.1,-4.41,-17.95,66.63,2.03,0.0,11.2
2015-01-22,-11.4,-4.72,-16.2,75.54,2.76,0.0,9.14
2015-01-23,-6.98,1.47,-11.93,56.99,1.64,0.0,11.01
2015-01-24,-6.47,-3.73,-8.73,78.93,2.17,0.13,4.31
2015-01-25,-6.45,0.53,-10.36,79.3,1.7,0.01,8.25
2015-01-26,-13.75,-9.96,-20.48,55.8,6.51,0.0,8.81
2015-01-27,-14.53,-5.97,-21.17,43.82,2.5,0.0,11.2
2015-01-28,-10.13,-5.19,-14.7,63.54,2.43,1.02,7.18
2015-01-29,-14.13,-9.06,-19.0,59.63,4.09,0.02,8.88
2015-01-30,-15.64,-8.46,-20.84,55.6,2.63,0.0,8.92
2015-01-31,-12.97,-6.35,-19.17,47.68,1.3,0.0,9.47
2015-02-01,-11.01,-5.91,-15.78,78.11,1.8,0.02,6.43
2015-02-02,-8.32,-5.1,-11.27,87.76,1.33,0.52,5.51
2015-02-03,-10.89,-4.94,-15.05,68.7,5.16,0.06,9.93
2015-02-04,-11.85,-5.02,-17.39,70.12,5.56,0.0,12.5
2015-02-05,-8.96,-0.6,-16.08,68.8,2.55,0.0,12.59
2015-02-06,-7.29,1.59,-13.05,58.33,3.44,0.0,12.62
2015-02-07,-13.27,-7.7,-19.65,44.59,5.14,0.0,13.22
2015-02-08,-12.57,-3.13,-19.91,49.83,1.98,0.0,12.32
2015-02-09,-8.28,1.23,-15.62,60.03,2.2,0.0,13.3
2015-02-10,-6.79,1.46,-13.37,52.25,2.72,0.0,12.23
2015-02-11,-7.69,0.21,-13.26,55.7,2.97,0.0,14.17
2015-02-12,-7.59,-0.41,-12.55,52.36,1.86,0.0,11.97
2015-02-13,-6.64,1.43,-12.86,56.3,2.8,0.0,14.58
2015-02-14,-2.47,6.22,-10.45,59.84,1.75,0.0,14.3
2015-02-15,-4.17,1.7,-10.06,42.29,4.25,0.0,13.16
2015-02-16,-6.12,2.52,-13.13,55.8,3.47,0.0,15.6
2015-02-17,-4.46,4.2,-11.3,51.93,2.23,0.0,15.74
2015-02-18,-4.1,3.91,-11.73,52.08,2.63,0.0,15.64
2015-02-19,-3.62,-0.81,-5.24,83.31,4.16,1.47,4.32
2015-02-20,-4.05,0.41,-9.23,89.71,2.13,1.32,4.49
2015-02-21,-12.68,-7.4,-19.04,52.32,7.01,0.31,12.13
2015-02-22,-14.62,-7.47,-21.38,49.64,3.1,0.04,12.42
2015-02-23,-10.44,-2.17,-17.11,44.22,2.11,0.0,14.42
2015-02-24,-7.15,1.06,-13.43,49.03,3.09,0.22,12.51
2015-02-25,-11.65,-5.83,-17.01,46.61,4.01,0.02,16.88
2015-02-26,-12.14,-4.61,-19.45,50.07,2.72,0.0,17.8
2015-02-27,-8.39,-4.24,-13.29,77.75,3.7,1.81,4.29
2015-02-28,-8.15,-4.28,-14.0,61.32,4.5,0.12,10.88
2015-03-01,-7.71,0.83,-15.54,48.28,3.41,0.0,12.64
2015-03-02,-7.69,0.68,-14.01,48.05,4.65,0.06,13.36
2015-03-03,-13.73,-7.45,-19.55,42.13,4.02,0.0,18.18
2015-03-04,-10.01,-2.38,-16.28,38.74,1.6,0.0,18.4
2015-03-05,-7.43,0.13,-14.72,55.26,2.94,0.0,17.27
2015-03-06,-5.91,3.8,-13.0,61.85,3.03,0.0,18.14
2015-03-07,-3.13,5.06,-10.81,42.14,2.9,0.0,18.1
2015-03-08,-8.11,-2.42,-15.43,45.94,5.87,0.0,19.18
2015-03-09,-12.41,-5.97,-18.05,41.19,3.97,0.0,21.3
2015-03-10,-9.0,-0.09,-16.98,39.81,3.07,0.0,20.29
2015-03-11,-5.69,3.2,-15.11,36.12,2.99,0.0,20.08
2015-03-12,-1.98,5.63,-7.61,35.16,3.08,0.0,19.11
2015-03-13,-2.09,4.73,-9.92,39.09,2.39,0.0,19.63
2015-03-14,-1.94,3.19,-6.65,37.43,5.37,0.0,20.99
2015-03-15,-0.71,7.21,-7.99,37.39,3.1,0.0,20.5
2015-03-16,2.11,11.19,-3.6,39.18,3.65,0.0,19.33
2015-03-17,2.68,10.19,-4.7,35.3,2.19,0.0,19.53
2015-03-18,3.25,10.9,-3.01,35.22,3.01,0.0,18.86
2015-03-19,0.55,8.49,-4.39,34.41,3.96,0.0,17.98
2015-03-20,-0.27,7.37,-5.43,32.86,4.75,0.0,21.43
2015-03-21,-0.01,7.93,-5.78,30.75,3.9,0.0,22.58
2015-03-22,-0.5,7.66,-6.06,28.12,3.06,0.0,22.17
2015-03-23,0.34,8.07,-5.5,29.41,1.77,0.0,23.59
